_id.dl_date,_id.dl_pt,_id.dl_cl,dl_count
51,"Pre-paid","CompuIndia",3.0
51,"Pre-paid","Crazeal",73.0
51,"Pre-paid","DFS -  Ace Turtle Services Pvt Ltd (Flying Machine)",3.0
51,"Pre-paid","DFS - 99garments.com",11.0
51,"Pre-paid","DFS - Accord",1.0
51,"Pre-paid","DFS - Andor Tech",1.0
51,"Pre-paid","DFS - Android Info Solution Pvt Ltd",1.0
51,"Pre-paid","DFS - Art of Living",20.0
51,"Pre-paid","DFS - BB Exim",3.0
51,"Pre-paid","DFS - Bag Me Mart",1.0
51,"Pre-paid","DFS - Belle Lingeries Pvt. Ltd.",2.0
51,"Pre-paid","DFS - BhaminiFashion",1.0
51,"Pre-paid","DFS - CARMEL ORGANICS PVT. LTD.",1.0
51,"Pre-paid","DFS - Celloworld",3.0
51,"Pre-paid","DFS - EST DEALS INDIA",1.0
51,"Pre-paid","DFS - Entice Trading",6.0
51,"Pre-paid","DFS - Genesis Tech Store",1.0
51,"Pre-paid","DFS - Global Trade Links",3.0
51,"Pre-paid","DFS - Globalite Retail Pvt Ltd.",18.0
51,"Pre-paid","DFS - Hindware Home Retail",1.0
51,"Pre-paid","DFS - Industry Buying",3.0
51,"Pre-paid","DFS - JIFSY",3.0
51,"Pre-paid","DFS - KESHAV IT WORLD",1.0
51,"Pre-paid","DFS - LMR Tablewares",1.0
51,"Pre-paid","DFS - Millennium Technologies",3.0
51,"Pre-paid","DFS - Multi Centric Solutions Pvt Ltd",1.0
51,"Pre-paid","DFS - NV Enterprises",1.0
51,"Pre-paid","DFS - New Age Enterprises",1.0
51,"Pre-paid","DFS - Nexxbase Marketing Pvt Ltd",2.0
51,"Pre-paid","DFS - Plumgoodness",4.0
51,"Pre-paid","DFS - Postbox",2.0
51,"Pre-paid","DFS - Pustak Bhoomee",1.0
51,"Pre-paid","DFS - SHITAL SIGNS (P) LTD.",1.0
51,"Pre-paid","DFS - SIDDHARTH MEDICARE",8.0
51,"Pre-paid","DFS - SPYKI STORE",1.0
51,"Pre-paid","DFS - Startedge Ventures India Pvt Ltd",2.0
51,"Pre-paid","DFS - TAM International",11.0
51,"Pre-paid","DFS - TOLEXO ONLINE PVT LTD",144.0
51,"Pre-paid","DFS - The Yellow Door Store",3.0
51,"Pre-paid","DFS - Trend Arrest Clothing Private Limited",1.0
51,"Pre-paid","DFS - Vasthra Boutique",2.0
51,"Pre-paid","DFS - Voonik Technologies Private Limited",2.0
51,"Pre-paid","DFS - Vox Pox",79.0
51,"Pre-paid","DFS - White Kalia",1.0
51,"Pre-paid","DFS - Yocustomfreak",1.0
51,"Pre-paid","DFS- Allsilks Designers Pvt Ltd",4.0
51,"Pre-paid","Dailyobjects",54.0
51,"Pre-paid","Dogspot",77.0
51,"Pre-paid","EBUY CITI",1.0
51,"Pre-paid","Elephant",3.0
51,"Pre-paid","Emnmart",1.0
51,"Pre-paid","Erd Infotech",1.0
51,"Pre-paid","Etail Marketing Pvt. Ltd.",6.0
51,"Pre-paid","Everstylish",3.0
51,"Pre-paid","Evolve",1.0
51,"Pre-paid","Faballey",11.0
51,"Pre-paid","Fabindia Overseas",2.0
51,"Pre-paid","Fashionara",101.0
51,"Pre-paid","Flipkart",1088.0
51,"Pre-paid","Flipkart B2B",154.0
51,"Pre-paid","Fos lighting",1.0
51,"Pre-paid","Four Brown Folk Decor",2.0
51,"Pre-paid","Future Lifestyle Fashions Limited",2.0
51,"Pre-paid","GamesInc",5.0
51,"Pre-paid","Getitbazaar",135.0
51,"Pre-paid","Gioia Bazar",7.0
51,"Pre-paid","Glitterartyy",1.0
51,"Pre-paid","Gourmet Co Retail Pvt. Ltd.",6.0
51,"Pre-paid","Green Dust",5.0
51,"Pre-paid","GrouponSurface",2.0
51,"Pre-paid","H2O",1.0
51,"Pre-paid","HUFT",9.0
51,"Pre-paid","HealthKart",167.0
51,"Pre-paid","HomeShop18",52.0
51,"Pre-paid","HomeShop18-FOS",172.0
51,"Pre-paid","Indian Trade Linkers",1.0
51,"Pre-paid","Indiarush",23.0
51,"Pre-paid","Infibeam",93.0
51,"Pre-paid","Infibeam Vendor",3.0
51,"Pre-paid","Integrated Sample & Try Pvt. Ltd",5.0
51,"Pre-paid","Ishimaya",4.0
51,"Pre-paid","Jabong",240.0
51,"Pre-paid","Just Herbs",1.0
51,"Pre-paid","Jyoti Footwear",2.0
51,"Pre-paid","Kaaryah",2.0
51,"Pre-paid","Kart Rocket",24.0
51,"Pre-paid","Kawachigroup",20.0
51,"Pre-paid","Khwaish",8.0
51,"Pre-paid","Kids City",2.0
51,"Pre-paid","Kingkart",5.0
51,"Pre-paid","Kothari Jewelry",1.0
51,"Pre-paid","LAVIDA LUXE LIFESTYLE SOLUTIONS PVT. LTD.",14.0
51,"Pre-paid","Lifestyle Megamart",1.0
51,"Pre-paid","LimeRoad",247.0
51,"Pre-paid","Live Your Sport",3.0
51,"Pre-paid","MPP - STYLEMAKE",3.0
51,"Pre-paid","MSM BOX",5.0
51,"Pre-paid","Magasin Online",4.0
51,"Pre-paid","Magickart",3.0
51,"Pre-paid","Major Brands-S2S Transfer",46.0
51,"Pre-paid","Mebelkart",1.0
51,"Pre-paid","Micromax",51.0
51,"Pre-paid","Mulyashop",2.0
51,"Pre-paid","My nutra mart",3.0
51,"Pre-paid","MyBabyCart",3.0
51,"Pre-paid","MyDesignersSales",1.0
51,"Pre-paid","Myhomesol",2.0
51,"Pre-paid","Myntra",341.0
