_id.dl_date,_id.dl_cn,_id.dl_cnc,dl_count
33,"Jaipur","Jaipur",314.0
33,"Jaipur_Malviya Nagar","Jaipur",313.0
33,"Jaipur_vaishali Nagar","Jaipur",140.0
33,"Jalandhar_DC","Jalandhar",349.0
33,"Jammu_SubhashNagar_DC","Jammu",474.0
33,"Jamnagar_Dc","Jamnagar",322.0
33,"Janakpuri","Delhi NCR",235.0
33,"Jodhpur","Jodhpur",258.0
33,"Kanchipuram_DC","Kanchipuram",5.0
33,"Kanpur","Kanpur",288.0
33,"Karnal","Karnal",84.0
33,"Karur","Karur",183.0
33,"Kolhapur_DC","Kolhapur",142.0
33,"Kota","Kota",192.0
33,"Lucknow","Lucknow",391.0
33,"Lucknow_Aliganj","Lucknow",280.0
33,"Lucknow_Gomti Nagar","Lucknow",157.0
33,"Lucknow_Hub","Lucknow",6.0
